,customer_id,time_duration,event_day_2020/10/27,event_day_2020/10/28,event_day_2020/10/29,event_day_2020/10/30,event_day_2020/10/31,event_day_2020/11/1,gender_woman,age_10's,age_20's,age_30's,age_40's,age_50's,age_60's,age_Over70's,area1_max_time_duration,area2_max_time_duration,area3_max_time_duration,area4_max_time_duration,area5_max_time_duration,buy_flag
175,20201026-030027,43.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,34.2,0.0,0.0,1
176,20201026-030037,4.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4.2,0.0,0.0,0.0,0.0,1
177,20201026-030039,42.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,22.0,0.0,12.0,0.0,0.0,1
178,20201026-030040,15.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15.0,0.0,0.0,0.0,0.0,0
179,20201026-030043,29.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1
180,20201026-030045,53.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,19.2,0.0,0.0,0.0,0.0,1
181,20201026-030048,6.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,5.2,1
182,20201026-030051,222.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,19.4,168.4,0.0,1
183,20201026-030052,71.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9.4,0.0,46.2,0.0,0.0,1
184,20201026-030061,26.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,11.6,0.0,0.0,1
185,20201026-030062,63.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,27.0,0.0,1
186,20201026-030063,69.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35.4,3.0,12.6,0.0,0.0,1
187,20201026-030064,25.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.8,0.0,0.0,0.0,9.4,1
188,20201026-030068,28.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5.6,0.0,0.0,0.0,0.0,1
